Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Quantidade compra;Valor de Compra;Unidade de Medida;Bandeira;Nota atendimento
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GASOLINA;01/01/2022;6,99;2000;4,60;R$ / litro;VIBRA ENERGIA;6
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;ETANOL;01/01/2022;5,99;2000;3,40;R$ / litro;VIBRA ENERGIA;6
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;DIESEL;01/01/2022;6,09;2000;5,10;R$ / litro;VIBRA ENERGIA;6
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GASOLINA ADITIVADA;01/01/2022;7,05;2000;4,80;R$ / litro;VIBRA ENERGIA;6
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;DIESEL S10;01/01/2022;6,12;2000;4,95;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;GASOLINA;01/01/2022;6,99;2000;4,60;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;ETANOL;01/01/2022;6,12;2000;3,40;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;DIESEL;01/01/2022;6,09;2000;5,10;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;GASOLINA ADITIVADA;01/01/2022;7,05;2000;4,60;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO ACAUAN LTDA; 00.524.999/0001-78;RODOVIA AC 40;1800;;VILA ACRE;69902-450;DIESEL S10;01/01/2022;6,12;2000;3,40;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;GASOLINA;01/01/2022;6,98;500;5,10;R$ / litro;BRANCA;5
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;DIESEL;01/01/2022;6,08;500;4,80;R$ / litro;BRANCA;5
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;GASOLINA ADITIVADA;01/01/2022;7,08;500;4,95;R$ / litro;BRANCA;5
N;AC;RIO BRANCO;AUTO POSTO CORRENTAO LTDA; 06.189.982/0001-98;RODOVIA BR-364 (RIO BRANCO-PORTO VELHO);4773;;SANTA INES;69907-701;DIESEL S10;01/01/2022;6,13;500;4,60;R$ / litro;BRANCA;5
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;GASOLINA;01/01/2022;6,87;500;3,40;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO BATISTA LTDA; 04.517.975/0001-42;VIA CHICO MENDES;711;;VILA DNER;69906-150;DIESEL S10;01/01/2022;5,99;500;5,10;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;JOAO FERREIRA DA CUNHA; 04.068.342/0001-02;RUA 6 DE AGOSTO;31;;SEIS DE AGOSTO;69905-629;GASOLINA;01/01/2022;6,87;500;6,98;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;JOAO FERREIRA DA CUNHA; 04.068.342/0001-02;RUA 6 DE AGOSTO;31;;SEIS DE AGOSTO;69905-629;DIESEL S10;01/01/2022;5,99;500;6,08;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;GASOLINA;01/01/2022;6,97;500;7,08;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;ETANOL;01/01/2022;6,1;500;6,13;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;DIESEL;01/01/2022;6,07;500;6,87;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;GASOLINA ADITIVADA;01/01/2022;6,99;500;5,99;R$ / litro;VIBRA ENERGIA;5
N;AC;RIO BRANCO;POSTO TRIÂNGULO LTDA.; 04.045.191/0001-69;RUA BOULEVARD AUGUSTO MONTEIRO;1268;0;TRIÂNGULO;69901-230;DIESEL S10;01/01/2022;6,09;500;6,87;R$ / litro;VIBRA ENERGIA;5
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0004-65;RODOVIA AL 220;105;KM 68;CANAFISTULA;57302-605;GASOLINA;01/01/2022;6,69;500;5,99;R$ / litro;VIBRA ENERGIA;5
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0004-65;RODOVIA AL 220;105;KM 68;CANAFISTULA;57302-605;ETANOL;01/01/2022;5,29;500;6,97;R$ / litro;VIBRA ENERGIA;5
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0004-65;RODOVIA AL 220;105;KM 68;CANAFISTULA;57302-605;DIESEL;01/01/2022;5,49;500;6,1;R$ / litro;VIBRA ENERGIA;5
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0004-65;RODOVIA AL 220;105;KM 68;CANAFISTULA;57302-605;GASOLINA ADITIVADA;01/01/2022;6,79;500;6,07;R$ / litro;VIBRA ENERGIA;5
NE;AL;ARAPIRACA;POSTO ARAPIRACA LTDA; 12.451.076/0004-65;RODOVIA AL 220;105;KM 68;CANAFISTULA;57302-605;DIESEL S10;01/01/2022;5,59;500;4,95;R$ / litro;VIBRA ENERGIA;5
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0001-00;AVENIDA PARQUE;1012;;CENTRO;69100-000;GASOLINA;01/01/2022;6,89;500;4,60;R$ / litro;BRANCA;5
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0001-00;AVENIDA PARQUE;1012;;CENTRO;69100-000;ETANOL;01/01/2022;5,99;500;3,40;R$ / litro;BRANCA;5
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0001-00;AVENIDA PARQUE;1012;;CENTRO;69100-000;DIESEL;01/01/2022;5,89;500;5,10;R$ / litro;BRANCA;5
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0001-00;AVENIDA PARQUE;1012;;CENTRO;69100-000;DIESEL S10;01/01/2022;5,95;500;4,60;R$ / litro;BRANCA;5
